Name,Model,Price,Date,vram,vram_type,feature,Brand,provider
MSI GeForce RTX 3060 Ti Ventus 2X OC 8GB GDDR6,GeForce RTX 3060 Ti Ventus 2X OCV1/LHR,46500.0,2022-07-19, 8GB,GDDR6,1,NVIDEA,MSI
Zotac Gaming GeForce RTX 3060 Ti Twin Edge 8GB GDDR6,ZT-A30610E-10MLHR,46999.0,2022-07-19, 8GB,GDDR6,0,NVIDEA,Zotac
Asus ROG Strix GeForce RTX 3060 V2 OC Gaming 12GB GDDR6,ROG-STRIX-RTX3060-O12G-V2-GAMING,47500.0,2022-07-19,12GB,GDDR6,1,NVIDEA,Asus
Gigabyte GeForce RTX 3060 Ti Gaming 8GB OC GDDR6 (rev. 2.0),GV-N306TGAMING OC-8GD 2.0,48500.0,2022-07-19, 8GB,GDDR6 ,1,NVIDEA,Gigabyte
Gigabyte GeForce RTX 3060 Ti Gaming OC PRO 8GB GDDR6,GV-N306TGAMINGOC PRO-8GD 3.0,49500.0,2022-07-19, 8GB,GDDR6,1,NVIDEA,Gigabyte
Zotac Gaming GeForce RTX 3070 Twin Edge 8GB GDDR6,ZT-A30700E-10P/LHR,54999.0,2022-07-19, 8GB,GDDR6,0,NVIDEA,Zotac
MSI GeForce RTX 3070 Ventus 3X OC 8GB GDDR6,GeForce RTX 3070 VENTUS 3X OC,58300.0,2022-07-19, 8GB,GDDR6,1,NVIDEA,MSI
Zotac Gaming GeForce RTX 3070 Twin Edge OC 8GB GDDR6,ZT-A30700H-10PLHR,58599.0,2022-07-19, 8GB,GDDR6,1,NVIDEA,Zotac
Asus TUF Gaming Radeon RX 6700 XT OC 12GB GDDR6,TUF RX6700XT O12G-GAMING,59500.0,2022-07-19,12GB,GDDR6,1,AMD,Asus
Asus ROG Strix RX 6700 XT OC Gaming 12GB GDDR6,ROG-STRIX-RX6700XT-O12G-GAMING,60199.0,2022-07-19,12GB,GDDR6,1,AMD,Asus
Inno3d GeForce RTX 3070 TI X3 8GB GDDR6X,N307T3-086X-1820VA45,62550.0,2022-07-19, 8GB,GDDR6X,0,NVIDEA,Inno3d
Colorful iGame GeForce RTX 3070 Ti Ultra W OC 8G-V 8GB GDDR6X,RTX 3070Ti Ultra OC,63000.0,2022-07-19, 8GB,GDDR6X,1,NVIDEA,Colorful
Gigabyte GeForce RTX 3070 Ti Gaming OC 8GB GDDR6X,GV-N307TGAMING OC-8GD/REV 1.0,64800.0,2022-07-19, 8GB,GDDR6X,1,NVIDEA,Gigabyte
Zotac Gaming GeForce RTX 3070 Ti Trinity OC 8GB GDDR6X,ZT-A30710J-10P,64999.0,2022-07-19, 8GB,GDDR6X,1,NVIDEA,Zotac
Inno3d GeForce RTX 3070 Ti Ichill X4 8GB GDDR6X,C307T4-086XX-1820VA35,68800.0,2022-07-19, 8GB,GDDR6X,0,NVIDEA,Inno3d
Nvidia Quadro RTX A4000 16GB GDDR6,RTX A4000,69400.0,2022-07-19,16GB,GDDR6,0,NVIDEA,Nvidia
MSI GeForce RTX 3070 Ti Ventus 3X 8GB OC GDDR6X,GeForce RTX 3070 Ti VENTUS 3X 8G OC,69900.0,2022-07-19, 8GB,GDDR6X,1,NVIDEA,MSI
Asus TUF Gaming GeForce RTX 3070 Ti OC 8GB GDDR6X,TUF-RTX3070TI-O8G-GAMING,72800.0,2022-07-19, 8GB,GDDR6X,1,NVIDEA,Asus
MSI GeForce RTX 3070 Ti Gaming X TRIO 8GB GDDR6X,GeForce RTX 3070 Ti GAMING X TRIO 8G,77000.0,2022-07-19, 8GB,GDDR6X,0,NVIDEA,MSI
Asus ROG Strix GeForce RTX 3070 TI Gaming OC 8GB GDDR6X,ROG-STRIX-RTX3070TI-O8G-GAMING,77400.0,2022-07-19, 8GB,GDDR6X,1,NVIDEA,Asus
Gigabyte GeForce RTX 3080 Gaming OC 12GB GDDR6X,GV-N3080GAMING OC-12GD,79381.0,2022-07-19,12GB,GDDR6X,1,NVIDEA,Gigabyte
MSI GeForce RTX 3080 Gaming Z TRIO LHR 10GB GDDR6X,GeForce RTX 3080 GAMING Z TRIO 10G LHR,84900.0,2022-07-19,10GB,GDDR6X,0,NVIDEA,MSI
MSI Radeon RX 6800 XT Gaming X TRIO 16GB GDDR6,Radeon RX 6800 XT GAMING X TRIO 16G,88400.0,2022-07-19,16GB,GDDR6,0,AMD,MSI
Inno3d GeForce RTX 3080 TI X3 OC 12GB GDDR6X,N308T3-126XX-1810VA44,94500.0,2022-07-19,12GB,GDDR6X,1,NVIDEA,Inno3d
Sapphire Nitro+ AMD Radeon RX 6900 XT SE 16GB GDDR6,11308-03-20G,95500.0,2022-07-19,16GB,GDDR6,0,AMD,Sapphire
Asus TUF Gaming GeForce RTX 3080 OC 12GB GDDR6X,TUF-RTX3080-O12G-GAMING,95990.0,2022-07-19,12GB,GDDR6X,1,NVIDEA,Asus
Colorful GeForce RTX 3080 Ti NB-V 12GB GDDR6X,RTX 3080Ti NB-V,100000.0,2022-07-19,12GB,GDDR6X,0,NVIDEA,Colorful
Asus TUF Gaming GeForce RTX 3080 Ti OC Edition 12GB GDDR6X,TUF-RTX3080TI-O12G-GAMING,104990.0,2022-07-19,12GB,GDDR6X,1,NVIDEA,Asus
PNY Nvidia Quadro RTX A4500 20GB GDDR6,RTX A4500,117000.0,2022-07-19,20GB,GDDR6,0,NVIDEA,PNY
Nvidia Quadro RTX A4500 20GB GDDR6,RTX A4500,117500.0,2022-07-19,20GB,GDDR6,0,NVIDEA,Nvidia
Gigabyte Aorus GeForce RTX 3080 Ti Master 12GB GDDR6X,GV-N308TAORUS M-12GD 1.0,119186.0,2022-07-19,12GB,GDDR6X,0,NVIDEA,Gigabyte
Zotac Gaming GeForce RTX 3090 AMP Extreme  Holo 24GB GDDR6X,ZT-A30900B-10P,150900.0,2022-07-19,24GB,GDDR6X,0,NVIDEA,Zotac
Nvidia Quadro RTX A5000 24GB GDDR6,RTX A5000,153800.0,2022-07-19,24GB,GDDR6,0,NVIDEA,Nvidia
MSI GeForce RTX 3090 Ti Suprim X 24GB GDDR6X,GeForce RTX 3090 Ti SUPRIM X 24G,216999.0,2022-07-19,24GB,GDDR6X,0,NVIDEA,MSI
Nvidia Quadro RTX A6000 48GB GDDR6,RTX A6000,350000.0,2022-07-19,48GB,GDDR6,0,NVIDEA,Nvidia
